# Program:featureCounts v2.0.6; Command:"featureCounts" "-t" "exon" "-g" "gene_id" "-a" "data/afum_ann.gff" "-o" "feature_counts/control_3/control_3_counts.txt" "star_align/control_3/Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	star_align/control_3/Aligned.sortedByCoord.out.bam
Afu3g07390	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	1855816;1856571	1856509;1857548	+;+	1672	103
Afu2g03610	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	958857;960466;960834	960263;960774;961023	-;-;-	1906	3962
Afu2g01420	Chr2_A_fumigatus_Af293	339809	341479	+	1671	44
Afu4g09630	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	2509890;2510206	2510157;2511095	+;+	1158	214
Afu2g04980	Chr2_A_fumigatus_Af293	1369359	1370879	-	1521	1779
Afu7g05840	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	1431243;1432109	1432046;1432880	+;+	1576	34
Afu2g05080	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	1395239;1395769	1395305;1399256	+;+	3555	986
Afu4g11170	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	2916314;2917849	2917803;2918302	-;-	1944	228
Afu3g13270	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	3521810;3523261	3523190;3523378	-;-	1499	364
Afu2g13150	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	3383181;3383336;3383816;3384207	3383271;3383746;3384145;3384784	+;+;+;+	1410	2144
Afu6g06335	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	1337684;1337864	1337803;1342067	-;-	4324	1011
Afu3g00970	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	227320;227512	227452;227846	-;-	468	59
Afu3g10750	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2794322;2794829;2795003;2795437;2795561;2795678;2796052	2794765;2794946;2795380;2795509;2795623;2795992;2796647	-;-;-;-;-;-;-	1987	1653
Afu3g09450	Chr3_A_fumigatus_Af293	2409086	2409964	-	879	5
Afu8g05030	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	1173733;1174083	1174025;1174416	-;-	627	224
Afu7g05860	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	1436016;1436863	1436804;1437867	-;-	1794	553
Afu3g03230	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	864234;864428;865580	864370;865523;865759	-;-;-	1413	176
Afu6g07500	Chr6_A_fumigatus_Af293	1702523	1706222	+	3700	113
Afu1g02540	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	739433;739524;742839;743104;743296;743585	739462;742777;743027;743227;743453;744026	-;-;-;-;-;-	4197	1944
Afu7g00620	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	170427;170649;171246	170500;170836;171685	+;+;+	702	0
Afu2g04780	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	1314332;1316349	1316280;1316651	-;-	2252	482
Afu4g01180	Chr4_A_fumigatus_Af293	318407	318892	-	486	0
Afu1g05210	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	1489006;1490584;1490708	1490441;1490641;1491480	+;+;+	2267	1886
Afu1g09340	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2422433;2422828	2422768;2425816	+;+	3325	67
Afu1g12140	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	3210006;3210635	3210561;3210843	+;+	765	205
Afu6g13110	Chr6_A_fumigatus_Af293	3312126	3312854	+	729	105
Afu1g14550	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	3886699;3887251;3887359;3887897	3887160;3887310;3887829;3888133	+;+;+;+	1230	8315
Afu2g06110	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	1733688;1734011;1734574	1733948;1734509;1735660	+;+;+	1847	1163
Afu2g05100	Chr2_A_fumigatus_Af293	1401794	1402591	+	798	122
Afu1g17600	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	4824944;4825500	4825450;4825508	-;-	516	0
Afu8g00480	Chr8_A_fumigatus_Af293	103592	104850	+	1259	2062
Afu1g11980	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	3164782;3165184;3165362;3166149	3165125;3165279;3166094;3166423	+;+;+;+	1448	417
Afu5g13610	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	3571974;3572245;3572602	3572180;3572534;3572617	-;-;-	513	341
Afu3g06890	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	1717585;1718310;1718977;1719743	1718214;1718917;1719554;1720301	-;-;-;-	2375	1537
Afu6g07080	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	1590883;1591398	1591319;1592494	+;+	1534	560
Afu3g10820	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2817530;2818259;2818376;2818625	2818202;2818320;2818561;2819497	+;+;+;+	1794	526
Afu4g04075	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	1147215;1147593	1147526;1147957	-;-	677	367
Afu3g08090	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2068660;2068860;2068928;2069531;2069804	2068743;2068870;2069470;2069743;2070044	+;+;+;+;+	1092	771
Afu8g05975	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	1415625;1417147;1417859	1417087;1417623;1417937	-;-;-	2019	193
Afu1g01812	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	547679;548029;548392;548966;549067;549296;549428	547977;548296;548886;549019;549247;549375;549975	-;-;-;-;-;-;-	1925	490
Afu7g06990	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	1708088;1708198;1708320;1708664	1708121;1708220;1708616;1708780	+;+;+;+	471	0
Afu4g12610	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	3308677;3308878;3308984;3309091;3309784	3308753;3308923;3309032;3309727;3310277	+;+;+;+;+	1303	222
Afu5g09330	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	2402275;2402581;2402852	2402519;2402712;2402867	-;-;-	393	491
Afu6g12580	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	3178889;3180758;3180903;3181156;3181499	3180688;3180831;3181060;3181450;3181554	-;-;-;-;-	2383	2638
Afu1g12710	Chr1_A_fumigatus_Af293	3366255	3366467	-	213	10
Afu3g03880	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	1110221;1110765;1110962	1110707;1110907;1111101	-;-;-	770	0
Afu7g01950	Chr7_A_fumigatus_Af293	529288	530526	+	1239	201
Afu6g11470	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2849713;2850102;2850547;2850927	2850044;2850492;2850878;2851389	+;+;+;+	1518	454
Afu8g05010	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	1156390;1158260;1159025	1158151;1158919;1159535	-;-;-	2933	926
Afu6g11030	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2722362;2723380;2723522;2723659;2723815;2724187	2723326;2723470;2723611;2723753;2724129;2724481	+;+;+;+;+;+	1851	6
Afu3g10050	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2586046;2586878	2586822;2587774	-;-	1674	214
Afu4g08240	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	2135925;2136164;2136618;2137120	2136086;2136553;2137064;2137315	+;+;+;+	1195	262
Afu1g13960	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	3732485;3732763	3732596;3733980	+;+	1330	315
Afu7g06930	Chr7_A_fumigatus_Af293	1694092	1694253	+	162	0
Afu5g14180	Chr5_A_fumigatus_Af293	3699978	3701185	+	1208	65
Afu5g12780	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	3350380;3352306	3352249;3353129	+;+	2694	484
Afu5g07480	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	1871937;1872067	1871996;1872798	+;+	792	1977
Afu2g11610	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2987758;2988072;2988406;2988685;2989009;2989172;2989343;2989444;2989621	2988009;2988348;2988634;2988956;2989112;2989287;2989381;2989573;2990274	-;-;-;-;-;-;-;-;-	2073	2
Afu1g06610	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	1891685;1892255;1892659	1892197;1892520;1893157	-;-;-	1278	1841
Afu2g17290	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	4626523;4626729;4626880;4627723	4626678;4626820;4627653;4627837	-;-;-;-	1137	95
Afu6g10590	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2619403;2622169	2622116;2622927	-;-	3473	1967
Afu4g12990	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	3402102;3402155;3403174	3402119;3403115;3403373	+;+;+	1179	1768
Afu2g02220	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	559348;559680;561217;563894	559561;561168;563832;564199	+;+;+;+	4625	1151
Afu1g02680	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	777142;777227;777556	777158;777481;780934	+;+;+	3651	1103
Afu2g13340	Chr2_A_fumigatus_Af293	3441660	3442601	-	942	166
Afu1g04530	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	1282636;1282822;1283058	1282746;1282998;1283216	+;+;+	447	6342
Afu4g12700	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	3332265;3332951;3333365	3332893;3333250;3333890	-;-;-	1455	3532
Afu5g08260	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	2094975;2097140	2095489;2097272	-;-	648	13
Afu6g07920	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	1833936;1834372	1834249;1834885	-;-	828	70
Afu5g10140	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	2610353;2611008	2610952;2611112	-;-	705	4
Afu4g14570	Chr4_A_fumigatus_Af293	3846109	3847374	+	1266	4
Afu3g12480	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	3296333;3297535;3297854;3298425;3298563	3297460;3297804;3298329;3298485;3298981	-;-;-;-;-	2354	686
Afu2g10850	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2786467;2787971;2788845	2787877;2788767;2790620	-;-;-	3984	865
Afu1g12332	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	3249026;3251114;3252229;3253204;3253366	3251000;3252167;3253142;3253301;3254541	-;-;-;-;-	5217	2233
Afu7g02510	Chr7_A_fumigatus_Af293	691043	693022	-	1980	528
Afu4g10090	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	2611253;2611477;2611604;2611766;2612348	2611423;2611547;2611717;2612298;2613339	+;+;+;+;+	1881	395
Afu3g08140	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2091362;2091481;2091762	2091420;2091692;2092189	+;+;+	699	618
Afu4g01290	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	342596;343725;344285;344730	343663;344217;344647;345349	+;+;+;+	2544	29190
Afu3g01670	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	420900;421581;422509;422693	421519;422440;422583;423288	-;-;-;-	2151	99
Afu3g11390	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2988245;2988458;2988569;2988720;2989062	2988399;2988499;2988667;2989006;2989876	+;+;+;+;+	1398	2045
Afu6g02160	Chr6_A_fumigatus_Af293	372617	373852	-	1236	265
Afu4g14510	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	3832621;3833062;3833175;3833278	3833006;3833118;3833213;3833644	-;-;-;-	849	13
Afu1g17350	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	4742830;4744338;4745559;4746324	4744288;4745482;4746260;4747012	-;-;-;-	3995	2471
Afu3g09050	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2304922;2305239;2305438	2305181;2305386;2307651	+;+;+	2622	382
Afu7g02180	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	584569;585355;586164	585291;586089;586235	+;+;+	1530	2798
Afu1g01190	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	415899;417493;417922;418090	417431;417874;418039;418697	+;+;+;+	2641	7
Afu1g11340	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2988467;2989507;2989723	2989427;2989685;2990133	-;-;-	1551	4
Afu6g11400	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2825956;2829068	2829005;2829227	-;-	3210	937
Afu6g12420	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	3140680;3142113	3142037;3143410	+;+	2656	597
Afu4g14840	Chr4_A_fumigatus_Af293	3908641	3910032	+	1392	597
Afu4g05850	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	1495125;1495461	1495404;1496509	+;+	1329	383
Afu2g08920	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2292057;2292569;2292663;2292793;2293241	2292502;2292608;2292741;2293183;2293564	+;+;+;+;+	1280	163
Afu1g17220	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	4706288;4706598;4706739;4707358	4706537;4706682;4707294;4707837	-;-;-;-	1371	6
Afu8g01790	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	467817;468067;468158;468299;468814	468013;468103;468228;468749;469682	+;+;+;+;+	1625	2
Afu2g05600	Chr2_A_fumigatus_Af293	1556615	1557982	-	1368	163
Afu6g14000	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	3570153;3571640	3571556;3572598	+;+	2363	605
Afu2g03420	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	899467;899977;900739	899918;900681;901674	+;+;+	2093	1844
Afu2g09990	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2554516;2556015;2556148;2556677;2558352	2555946;2556083;2556621;2558293;2559036	+;+;+;+;+	4276	1181
Afu1g04410	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	1255183;1255555	1255533;1256763	+;+	1560	425
Afu8g05630	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	1329496;1330181;1332954;1333814	1330116;1332872;1333759;1334304	+;+;+;+	4610	3638
Afu5g13710	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	3600517;3602205;3602572;3602963;3603261	3602135;3602519;3602894;3603201;3603725	-;-;-;-;-	2961	2134
Afu8g05650	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	1338439;1338951	1338873;1339085	+;+	570	2414
Afu6g03770	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	832124;832562;832815	832483;832743;834282	+;+;+	2010	1572
Afu1g07430	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2100057;2100362;2100436	2100250;2100371;2100597	-;-;-	366	1213
Afu1g06130	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	1769261;1770572;1770897	1770525;1770843;1771787	-;-;-	2428	8
Afu6g08780	Chr6_A_fumigatus_Af293	2081280	2082350	+	1071	163
Afu2g09480	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2420339;2420689	2420621;2420879	+;+	474	367
Afu1g00550	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	177040;177234	177172;179175	+;+	2075	242
Afu2g02430	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	611628;611956;612048;612132;612345	611879;611982;612077;612222;613676	+;+;+;+;+	1732	1524
Afu3g07930	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2011478;2012396	2012334;2012789	-;-	1251	777
Afu6g09130	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2167501;2167934;2168526	2167866;2168465;2168724	-;-;-	1097	206
Afu1g16950	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	4631195;4631298;4631409;4631494;4631582;4632021	4631228;4631353;4631440;4631528;4631970;4633032	+;+;+;+;+;+	1558	188
Afu2g11040	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	2835417;2835559;2836168	2835499;2836096;2836401	+;+;+	855	603
Afu1g04780	Chr1_A_fumigatus_Af293	1354004	1356622	-	2619	469
Afu6g01800	Chr6_A_fumigatus_Af293	245892	248084	+	2193	22
Afu6g09660	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	2352620;2355091;2358512	2355040;2358464;2359124	-;-;-	6408	2000
Afu6g04570	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	1060589;1060939;1061387;1062166	1060825;1061140;1062109;1062846	+;+;+;+	1843	9877
Afu1g03215	Chr1_A_fumigatus_Af293	942834	942949	+	116	0
Afu1g15000	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	4029090;4029648;4029848;4031493	4029554;4029792;4031425;4031693	+;+;+;+	2389	1789
Afu8g00580	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	134423;135395;135634	135343;135575;135764	-;-;-	1233	3633
Afu3g14710	Chr3_A_fumigatus_Af293	3905562	3906653	+	1092	149
Afu3g03315	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	886053;887159	887102;887369	-;-	1261	65
Afu7g06900	Chr7_A_fumigatus_Af293	1682237	1683885	-	1649	26
Afu8g05710	Chr8_A_fumigatus_Af293	1356448	1358495	-	2048	339
Afu8g02130	Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293;Chr8_A_fumigatus_Af293	548484;548640;549288;549373;549446;550252	548572;549241;549325;549398;550207;551225	+;+;+;+;+;+	2491	374
Afu6g08050	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	1868230;1868716;1868914;1869423;1869909	1868443;1868852;1869365;1869851;1870553	+;+;+;+;+	1877	14414
Afu2g03680	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	976601;979040	978789;979405	-;-	2555	1216
Afu3g02460	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	619106;619305;619618;620276	619124;619548;620195;620790	+;+;+;+	1356	20
Afu2g16170	Chr2_A_fumigatus_Af293	4284881	4287806	+	2926	454
Afu1g14940	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	4004644;4004739;4004887;4005199;4005918;4006922	4004673;4004823;4005113;4005853;4006856;4007079	+;+;+;+;+;+	2094	1293
Afu7g04950	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	1165735;1166121;1166500	1166064;1166454;1166681	-;-;-	846	40
Afu1g03390	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	987082;987692;988088;988270;988364	987638;988016;988208;988303;988509	-;-;-;-;-	1183	7696
Afu4g03760	Chr4_A_fumigatus_Af293;Chr4_A_fumigatus_Af293	1054336;1057833	1057768;1058133	+;+	3734	1824
Afu3g07260	Chr3_A_fumigatus_Af293	1820742	1822135	+	1394	112
Afu2g03700	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	984934;985339;985755;988164	985275;985704;988099;988900	+;+;+;+	3790	4196
Afu1g10840	Chr1_A_fumigatus_Af293	2827391	2827987	+	597	336
Afu3g01550	Chr3_A_fumigatus_Af293	393029	394804	+	1776	1
Afu3tD(GUC)6	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	900573;900624	900607;900660	-;-	72	0
Afu3g01390	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	344085;344303	344216;344659	-;-	489	7
Afu1g09960	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	2577202;2578055	2577994;2578149	-;-	888	278
Afu6g06960	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	1536982;1537177;1537318;1538379;1538659;1538786	1537127;1537250;1538301;1538603;1538735;1538881	-;-;-;-;-;-	1602	58
Afu3g07000	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	1747581;1748026;1748219;1748365	1747940;1748158;1748276;1748856	+;+;+;+	1043	604
Afu4g14520	Chr4_A_fumigatus_Af293	3834231	3835127	+	897	66
Afu3g00330	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	68086;68483;68821;68985;69241;69403;69635	68436;68763;68927;69189;69347;69581;70371	-;-;-;-;-;-;-	1967	533
Afu5g12670	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	3288688;3289041;3293440;3293643;3293965	3288946;3293384;3293595;3293914;3294293	+;+;+;+;+	5360	1453
Afu7g04150	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	937236;937813;937955	937649;937839;938035	-;-;-	522	480
Afu6g08010	Chr6_A_fumigatus_Af293;Chr6_A_fumigatus_Af293	1855800;1856775	1856687;1857903	+;+	2017	352
Afu3g10010	Chr3_A_fumigatus_Af293;Chr3_A_fumigatus_Af293	2572124;2572487	2572410;2573119	-;-	920	105
Afu7g01940	Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293;Chr7_A_fumigatus_Af293	522083;525775;526341	525718;526276;529069	-;-;-	6867	1109
Afu2g12850	Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293;Chr2_A_fumigatus_Af293	3294729;3296373;3296445;3296535	3296323;3296398;3296482;3296935	-;-;-;-	2060	203
Afu5tN(GUU)6	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	3372970;3373024	3373007;3373059	+;+	74	1
Afu1g01080	Chr1_A_fumigatus_Af293;Chr1_A_fumigatus_Af293	391423;391538	391480;391941	-;-	462	4
Afu4g13380	Chr4_A_fumigatus_Af293	3505971	3507517	+	1547	4868
Afu5g03620	Chr5_A_fumigatus_Af293	971698	973427	-	1730	578
Afu5g06620	Chr5_A_fumigatus_Af293;Chr5_A_fumigatus_Af293	1620834;1621766	1621710;1621806	-;-	918	1
